tconst,averageRating,numVotes
tt0195393,4.8,116
tt0195551,6.4,65
tt0195631,4.9,351
tt0195685,7.4,193192
tt0195714,6.7,247914
tt0195778,5.1,8594
tt0195857,5.2,146
tt0195860,5.3,54
tt0195944,4.1,143
tt0195945,6.1,40088
tt0196068,4.7,225
tt0196069,7.7,7902
tt0196106,4.1,2541
tt0196158,3.5,7415
tt0196186,6.1,369
tt0196216,6.6,38613
tt0196219,2.2,1236
tt0196223,5.3,1190
tt0196229,6.5,260597
tt0196614,5.9,1180
tt0196708,6.2,2552
tt0196723,5.6,1360
tt0196811,6.5,3385
tt0196927,6.8,14
tt0197072,3.8,634
tt0197096,6.9,2735
tt0197299,3.6,114
tt0197311,5.5,273
tt0197384,5.8,3382
tt0197392,6.3,398
tt0197402,6.7,1432
tt0197448,4.7,78
tt0197633,4.8,671
tt0197644,4.4,160
tt0197646,4.6,280
tt0197740,6.6,60
tt0197750,3.9,2308
tt0197753,5.6,525
tt0197858,4.4,37
tt0197862,7.5,79
tt0197929,6.3,26
tt0197951,4.0,478
tt0197996,5.0,438
tt0198013,8.8,17
tt0198021,6.7,33868
tt0198284,4.4,839
tt0198386,5.6,5997
tt0198434,3.5,520
tt0198460,5.7,281
tt0198654,7.0,568
tt0198748,7.5,78
tt0198781,8.1,880371
tt0198893,3.9,163
tt0198903,5.3,247
tt0199000,6.0,393
tt0199007,4.3,389
tt0199077,6.4,320
tt0199129,6.2,270
tt0199290,4.6,3479
tt0199305,4.8,62
tt0199314,5.9,6571
tt0199481,2.7,5286
tt0199504,5.3,65
tt0199602,6.6,33
tt0199626,5.3,24296
tt0199650,4.0,1019
tt0199696,6.0,61
tt0199700,5.9,511
tt0199725,7.2,21092
tt0199727,6.4,5405
tt0199733,5.3,139
tt0199744,5.0,391
tt0199748,4.3,157
tt0199753,5.7,57399
tt0199898,4.8,276
tt0199974,4.8,1084
tt0200027,6.5,28723
tt0200171,6.0,201
tt0200191,6.2,555
tt0200192,5.4,5651
tt0200257,6.5,402
tt0200299,6.0,1441
tt0200422,4.8,794
tt0200427,6.9,1726
tt0200465,7.2,180018
tt0200472,5.6,2320
tt0200483,5.3,57
tt0200525,6.3,25
tt0200530,6.6,5607
tt0200550,5.7,113040
tt0200669,5.9,4450
tt0200720,7.0,7516
tt0200954,3.7,933
tt0201020,6.3,201
tt0201275,7.7,55
tt0201394,5.0,1524
tt0201479,3.9,652
tt0201484,4.6,775
tt0201485,5.3,8974
tt0201670,5.9,409
tt0201694,2.6,1068
tt0201726,4.5,333
tt0201737,4.6,184
tt0201844,2.4,4250
tt0201888,6.9,714
tt0201899,6.8,1557
tt0201901,5.5,317
tt0201934,4.7,73
tt0202236,4.7,914
tt0202256,6.3,234
tt0202294,7.2,68
tt0202314,3.1,1291
tt0202316,4.3,13
tt0202360,5.7,57
tt0202402,5.4,10863
tt0202405,5.9,220
tt0202452,4.1,47
tt0202457,6.2,8
tt0202458,2.0,179
tt0202464,6.5,105
tt0202470,6.3,43079
tt0202487,7.7,24
tt0202502,5.6,26
tt0202560,7.1,23
tt0202623,5.4,4764
tt0202641,7.2,1672
tt0202677,6.6,33316
tt0202695,5.3,77
tt0202711,6.4,920
tt0202829,7.2,14
tt0202856,6.4,189
tt0202989,4.5,670
tt0203009,7.6,279903
tt0203019,7.2,115298
tt0203047,6.3,84
tt0203053,5.5,859
tt0203078,5.5,41
tt0203119,7.3,60289
tt0203144,6.6,17
tt0203166,7.4,22698
tt0203206,8.2,10
tt0203230,7.5,29780
tt0203289,6.6,1628
tt0203297,5.1,543
tt0203536,4.6,592
tt0203540,6.8,6022
tt0203580,3.7,269
tt0203584,6.3,239
tt0203632,7.4,14514
tt0203755,6.2,30495
tt0203830,4.7,291
tt0203835,3.0,861
tt0203912,5.2,92
tt0203940,3.9,2996
tt0203952,4.2,145
tt0203975,4.7,3265
tt0204055,6.9,1068
tt0204137,6.6,13685
tt0204140,5.7,43
tt0204175,5.4,16774
tt0204250,2.1,696
tt0204313,5.1,36643
tt0204315,6.5,398
tt0204322,5.1,971
tt0204350,4.9,1339
tt0204352,6.6,94
tt0204382,7.2,32
tt0204414,5.8,67
tt0204619,4.7,76
tt0204626,5.3,27080
tt0204640,6.7,3135
tt0204679,5.8,17
tt0204698,7.4,42
tt0204700,5.9,8019
tt0204761,5.6,1877
tt0204885,5.7,91
tt0204932,7.3,3785
tt0204933,4.4,156
tt0204946,6.1,94883
tt0205027,5.0,632
tt0205177,5.6,13373
tt0205271,4.7,19578
tt0205380,4.0,170
tt0205418,2.9,2818
tt0205461,4.1,4302
tt0205498,6.0,217
tt0205526,3.6,174
tt0205718,4.2,154
tt0205729,3.7,53
tt0205738,6.7,467
tt0205778,6.5,81
tt0205836,6.7,372
tt0205873,7.2,16268
tt0205936,5.1,239
tt0206075,3.4,571
tt0206087,6.2,193
tt0206088,6.2,342
tt0206093,6.7,542
tt0206098,6.8,65
tt0206113,6.3,1438
tt0206128,4.6,44
tt0206184,4.9,296
tt0206200,6.4,314
tt0206211,7.6,10
tt0206223,4.1,143
tt0206226,6.0,6062
tt0206275,6.2,61327
tt0206314,6.6,68543
tt0206351,6.0,19
tt0206367,5.0,1154
tt0206420,5.3,10459
tt0206545,7.4,61
tt0206608,6.2,185
tt0206634,7.9,491140
tt0206670,5.6,50
tt0206694,6.7,48
tt0206742,6.4,2098
tt0206762,6.2,1456
tt0206778,6.5,68
tt0206795,6.6,236
tt0206806,7.3,88
tt0206866,7.1,403
tt0206917,6.1,15255
tt0206926,5.6,5897
tt0206963,7.2,5633
tt0207002,5.7,73
tt0207036,5.1,656
tt0207051,6.0,325
tt0207130,7.2,29
tt0207161,5.6,1423
tt0207163,6.3,481
tt0207198,6.7,3666
tt0207201,6.4,205051
tt0207296,5.0,98
tt0207333,5.1,855
tt0207337,4.2,29
tt0207377,4.6,883
tt0207501,4.1,45
tt0207524,6.8,3547
tt0207585,5.8,716
tt0207631,4.4,651
tt0207635,6.3,61
tt0207638,5.7,129
tt0207745,4.4,250
tt0207826,5.5,37
tt0207988,6.0,406
tt0208003,5.2,84886
tt0208017,7.7,43
tt0208026,5.6,1173
tt0208032,7.1,1193
tt0208037,4.6,407
tt0208050,5.5,389
tt0208092,8.3,834605
tt0208181,6.6,1121
tt0208196,7.2,9841
tt0208198,5.2,451
tt0208204,4.7,115
tt0208298,7.1,1583
tt0208412,6.8,32
tt0208491,4.6,752
tt0208655,4.9,382
tt0208675,7.0,1264
tt0208870,4.0,142
tt0208874,6.9,23980
tt0208883,6.1,100
tt0208889,7.0,66
tt0208899,5.4,179
tt0208910,7.9,22
tt0208911,6.3,1928
tt0208942,4.3,178
tt0208988,5.1,34351
tt0208990,7.3,19846
tt0208993,6.9,1396
tt0209020,4.4,75
tt0209037,6.9,3248
tt0209077,5.8,29689
tt0209109,4.9,681
tt0209144,8.5,1204269
tt0209163,6.4,318188
tt0209180,8.1,4549
tt0209253,4.2,76
tt0209279,5.3,167
tt0209322,6.3,3410
tt0209464,6.2,456
tt0209475,5.3,80368
tt0209485,5.2,142
tt0209486,4.8,452
tt0209941,6.1,87
tt0209958,6.4,101725
tt0210065,6.7,13902
tt0210070,6.8,46358
tt0210075,6.7,11017
tt0210094,5.3,2751
tt0210149,6.0,702
tt0210217,6.4,853
tt0210223,4.8,216
tt0210299,7.2,3498
tt0210357,6.5,256
tt0210358,6.4,7032
tt0210362,6.0,277
tt0210382,5.8,9508
tt0210470,6.7,66
tt0210471,6.1,122
tt0210480,6.3,35
tt0210567,5.5,4050
tt0210584,6.1,2389
tt0210616,6.6,21468
tt0210738,5.1,430
tt0210756,6.0,425
tt0210776,5.9,40
tt0210816,4.8,181
tt0210884,6.7,25
tt0210890,6.1,19
tt0210930,5.2,239
tt0210943,6.4,2381
tt0210945,7.8,211039
tt0210952,5.6,92
tt0210953,5.4,314
tt0210971,5.6,286
tt0211103,6.2,449
tt0211181,4.8,37187
tt0211279,7.1,20
tt0211296,6.9,31
tt0211309,6.5,477
tt0211311,5.1,106
tt0211318,8.9,9
tt0211387,6.7,6486
tt0211423,7.2,21
tt0211443,4.4,55441
tt0211465,6.1,23760
tt0211492,6.8,4474
tt0211554,5.6,179
tt0211661,5.9,1785
tt0211718,7.2,2868
tt0211900,5.9,1185
tt0211915,8.3,741791
tt0211919,6.2,161
tt0211933,6.5,75374
tt0211938,5.7,12495
tt0211941,5.5,1541
tt0211946,7.2,14478
tt0212048,4.4,314
tt0212059,4.8,171
tt0212132,7.4,2949
tt0212215,6.1,254
tt0212271,4.0,231
tt0212292,6.7,226
tt0212294,6.0,138
tt0212298,7.0,106
tt0212338,7.0,328970
tt0212346,6.3,204379
tt0212360,6.3,76
tt0212380,6.2,8527
tt0212474,4.8,234
tt0212495,5.0,273
tt0212604,7.3,1920
tt0212667,3.4,179
tt0212712,7.4,56786
tt0212719,5.5,124
tt0212720,7.2,303687
tt0212725,6.8,16
tt0212742,5.3,1752
tt0212797,6.3,453
tt0212815,7.3,4500
tt0212826,7.0,5674
tt0212827,5.6,666
tt0212830,5.2,6008
tt0212867,4.9,1245
tt0212873,7.3,103
tt0212879,6.0,5687
tt0212881,3.8,102
tt0212897,6.8,656
tt0212910,5.7,1272
tt0212958,5.7,79
tt0212974,6.5,4313
tt0212985,6.8,269984
tt0213053,5.3,216
tt0213113,3.8,76
tt0213127,6.2,66
tt0213149,6.2,327328
tt0213203,6.1,12456
tt0213205,5.9,123
tt0213231,4.8,183
tt0213266,7.2,37
tt0213308,6.6,57
tt0213446,4.9,472
tt0213539,5.2,31
tt0213561,6.3,448
tt0213595,6.6,421
tt0213642,3.3,510
tt0213690,3.4,296
tt0213733,5.9,160
tt0213790,5.1,13162
tt0213802,3.2,1892
tt0213824,4.5,36
tt0213847,7.5,100098
tt0213890,7.0,29480
tt0213985,6.9,2584
tt0213996,5.7,16
tt0214017,7.3,43
tt0214032,5.8,60
tt0214048,5.1,235
tt0214106,4.1,139
tt0214140,8.1,36
tt0214265,6.4,987
tt0214277,6.0,273
tt0214289,6.3,3518
tt0214388,5.8,22813
tt0214520,5.7,83
tt0214529,4.4,4899
tt0214548,5.8,68
tt0214619,5.4,128
tt0214638,3.5,328
